study_accession,publication_title,year,mission,organism,tissue,assay,platform,environment,doi,source_url,abstract,metadata_json
GLDS-279,Space biology research study on Rattus norvegicus - GLDS-279,2022,ISS Expedition 60,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-279,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-280,Space biology research study on Mus musculus - GLDS-280,2023,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1348/example.glds-280,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-280,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-281,Space biology research study on Arabidopsis thaliana - GLDS-281,2024,,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-281,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-282,Space biology research study on Drosophila melanogaster - GLDS-282,2015,ISS,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1350/example.glds-282,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-282,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-283,Space biology research study on Caenorhabditis elegans - GLDS-283,2016,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-283,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-284,Space biology research study on Homo sapiens - GLDS-284,2017,ISS Expedition 60,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1352/example.glds-284,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-284,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-285,Space biology research study on Rattus norvegicus - GLDS-285,2018,Space Shuttle,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-285,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-286,Space biology research study on Mus musculus - GLDS-286,2019,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1354/example.glds-286,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-286,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-287,Space biology research study on Arabidopsis thaliana - GLDS-287,2020,ISS,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-287,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-288,Space biology research study on Drosophila melanogaster - GLDS-288,2021,ISS Expedition 50,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1356/example.glds-288,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-288,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-289,Space biology research study on Caenorhabditis elegans - GLDS-289,2022,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-289,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-290,Space biology research study on Homo sapiens - GLDS-290,2023,Space Shuttle,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1358/example.glds-290,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-290,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-291,Space biology research study on Rattus norvegicus - GLDS-291,2024,,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-291,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-292,Space biology research study on Mus musculus - GLDS-292,2015,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1360/example.glds-292,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-292,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-293,Space biology research study on Arabidopsis thaliana - GLDS-293,2016,ISS Expedition 50,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-293,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-294,Space biology research study on Drosophila melanogaster - GLDS-294,2017,ISS Expedition 60,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1362/example.glds-294,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-294,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-295,Space biology research study on Caenorhabditis elegans - GLDS-295,2018,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-295,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-296,Space biology research study on Homo sapiens - GLDS-296,2019,,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1364/example.glds-296,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-296,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-297,Space biology research study on Rattus norvegicus - GLDS-297,2020,ISS,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-297,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-298,Space biology research study on Mus musculus - GLDS-298,2021,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1366/example.glds-298,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-298,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
